"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SPB           ","Spectrum Brands Holdings, Inc.","62.21","$3.06B","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/spb",
"SPPI","Spectrum Pharmaceuticals, Inc.","9.8","$1.1B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/sppi",
"TRK","Speedway Motorsports, Inc.","18.35","$748.85M","1995","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/trk",
"SPRO","Spero Therapeutics, Inc.","11.24","$196.2M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/spro",
"ANY","Sphere 3D Corp.","2.59","$5M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/any",
"SPEX","Spherix Incorporated","0.8","$6.83M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/spex",
"SPI","SPI Energy Co., Ltd.","4.35","$63.14M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/spi",
"SR","Spire Inc.","85.55","$4.34B","n/a","Public Utilities","Oil/Gas Transmission","https://www.nasdaq.com/symbol/sr",
"SPR","Spirit Aerosystems Holdings, Inc.","88.81","$9.38B","2006","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/spr",
"SAVE","Spirit Airlines, Inc.","52.5","$3.59B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/save",
"SAVE","Spirit Airlines, Inc.","52.5","$3.59B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/save",
"SMTA","Spirit MTA REIT","6.83","$294.28M","2018","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/smta",
"STXB","Spirit of Texas Bancshares, Inc.","22.66","$312.19M","2018","Finance","Major Banks","https://www.nasdaq.com/symbol/stxb",
"SRC","Spirit Realty Capital, Inc.","41.7","$3.64B","2013","Consumer Services","Building operators","https://www.nasdaq.com/symbol/src",
"SRC^A","Spirit Realty Capital, Inc.","24.37","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/src^a",
"SPLK","Splunk Inc.","135.22","$20.3B","2012","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/splk",
"SPOK","Spok Holdings, Inc.","14.37","$276.08M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/spok",
"SPWH","Sportsman&#39;s Warehouse Holdings, Inc.","4.54","$195.12M","2014","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/spwh",
"SPOT","Spotify Technology S.A.","136.17","$24.6B","2018","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/spot",
"SRLP","Sprague Resources LP","20.15","$458.09M","2013","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/srlp",
"SBPH","Spring Bank Pharmaceuticals, Inc.","7.05","$115.92M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/sbph",
"S","Sprint Corporation","5.8","$23.65B","2013","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/s",
"FUND","Sprott Focus Trust, Inc.","7","$190.08M","n/a","Consumer Services","Miscellaneous","https://www.nasdaq.com/symbol/fund",
"SFM","Sprouts Farmers Market, Inc.","22.13","$2.61B","2013","Consumer Services","Food Chains","https://www.nasdaq.com/symbol/sfm",
"SPSC","SPS Commerce, Inc.","106.96","$1.92B","2010","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/spsc",
"SPXC","SPX Corporation","35.58","$1.56B","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/spxc",
"FLOW","SPX FLOW, Inc.","42","$1.79B","2015","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/flow",
"SQ","Square, Inc.","68.52","$28.98B","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/sq",
"SRCI","SRC Energy Inc.","5.94","$1.45B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/srci",
"SSNC","SS&C Technologies Holdings, Inc.","60","$15.16B","2010","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ssnc",
"SSLJ","SSLJ.com Limited","3.64","$160.16M","2018","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/sslj",
"SSRM","SSR Mining Inc.","11.12","$1.35B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/ssrm",
"JOE","St. Joe Company (The)","17.55","$1.06B","n/a","Consumer Services","Homebuilding","https://www.nasdaq.com/symbol/joe",
"STAA","STAAR Surgical Company","25","$1.11B","n/a","Health Care","Ophthalmic Goods","https://www.nasdaq.com/symbol/staa",
"STAF","Staffing 360 Solutions, Inc.","1.6974","$13.99M","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/staf",
"STAG","Stag Industrial, Inc.","29.65","$3.73B","2011","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/stag",
"STAG^C","Stag Industrial, Inc.","26.3775","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/stag^c",
"SSI","Stage Stores, Inc.","1.08","$32.57M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/ssi",
"STMP","Stamps.com Inc.","87.14","$1.52B","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/stmp",
"STND","Standard AVB Financial Corp.","27.775","$133.95M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/stnd",
